hour_of_year,demand_wh,wind_speed_ms,egen_wh,deficit_wh,generator_output_wh
8564,439260.59879392886,2.6380262904297553,6404.419875940648,432856.1789179882,432856.1789179882
8565,393973.4085198747,2.512405990885481,575.6379770863184,393397.7705427884,393397.7705427884
8566,373002.7925288914,2.7259605001107468,10484.56720513865,362518.22532375273,362518.22532375273
8567,322608.9283780625,3.1153834286979962,33353.741725423664,289255.18665263883,289255.18665263883
8568,320436.5478703916,3.4043101176498265,58779.29035318473,261657.25751720683,261657.25751720683
8569,284605.64244463417,3.517368387239673,69242.52233938556,215363.1201052486,215363.1201052486
8570,280177.6637904236,3.7057988365560846,91401.94317899554,188775.72061142806,188775.72061142806
8571,348107.0052560046,4.007287555462342,127090.21829716631,221016.78695883826,221016.78695883826
8572,297072.545178576,4.25852815455089,164675.8119208132,132396.73325776283,132396.73325776283
8573,345615.1496307032,4.346462364231882,177830.76968908953,167784.37994161368,167784.37994161368
8574,365850.4546085441,4.4092725140040185,187227.1680950012,178623.28651354293,178623.28651354293
8575,455337.8280243989,4.434396573912874,190985.72745736598,264352.10056703293,264352.10056703293
8576,407641.2734932823,4.811257472545696,257573.36299233497,150067.91050094736,150067.91050094736
8577,401260.1507175586,4.710761232910277,239242.84888283446,162017.30183472412,162017.30183472412
8578,412295.9414178531,4.610264993274858,220912.33477333406,191383.60664451905,191383.60664451905
8579,421641.3441704338,3.881667255918068,112084.06929596479,309557.27487446903,309557.27487446903
8580,395173.3728767914,3.366624027786545,55462.91444521596,339710.45843157545,339710.45843157545
8581,327578.6911540196,2.864142829609448,16896.227293878386,310682.46386014123,310682.46386014123
8582,370628.2766832559,2.5877781706120455,4072.9071163989115,366555.369566857,366555.369566857
8583,378329.1691248285,2.512405990885481,575.6379770863184,377753.5311477422,377753.5311477422
8584,383943.61526413966,2.2611653917969328,0.0,383943.61526413966,383943.61526413966
8585,458162.2717239545,2.173231182115941,0.0,458162.2717239545,458162.2717239545
8586,480540.9644399073,2.9520770392904403,20976.374623076426,459564.5898168309,459564.5898168309
8587,453993.7519664797,3.693236806601657,89924.64845635489,364069.10351012484,364069.10351012484
8588,451379.7566771936,4.4092725140040185,187227.1680950012,264152.58858219243,264152.58858219243
8589,450808.5482914763,4.899191682226688,273612.5628381478,177195.98545332853,177195.98545332853
8590,408731.066836288,5.1504322813152354,325456.1393645084,83274.92747177964,83274.92747177964
8591,298836.32737816294,5.200680401132945,336631.3212119669,0.0,0.0
8592,270356.511561188,5.250928520950655,347806.5030594257,0.0,0.0
8593,438426.3286512365,5.238366490996228,345012.70759756106,93413.62105367542,93413.62105367542
